SMILES,Avg_T_half,Sem_T_half,Norm_T_half,Norm_Sem_T_half
Cc(ccc1c2[nH]c3c(C(C(O)=O)NCC3)n2)c4c1cccn4,,,4.3,
Clc(cc1)cc2c1occ(/C=C3C(NN(c4ccccc4)C/3=O)=O)c2=O,,,4.3,
COc(cc1)cc2c1c(ccc(OCc3[nH]nnn3)c4C)c4oc2=O,,,4.3,
Oc1c(\C=C2/C(=O)NN(C2=O)c2ccc(Cl)cc2)cc(Br)cc1[N+]([O-])=O,,,4.3,
OC(=O)c1ccc(cc1)N1NC(=O)\C(=C/c2ccc(o2)[N+]([O-])=O)C1=O,,,4.3,
CCOC(=O)c1ccc(cc1)N1N=C(O)\C(=C/c2ccc(o2)[N+]([O-])=O)C1=O,57,,3.5625,
Cc1c(OCc2nnn[nH]2)ccc2c3ccccc3c(=O)oc12,54.5,0,3.516129032,0.024404855
Brc1ccc(\C=C2/C(=O)NN(C2=O)c2ccccc2)o1,60.91666667,5.083333333,3.097457627,0.26375231
Cc1cccc2c(c[nH]c12)-c1nc2C(NCCc2[nH]1)C(O)=O,46.58333333,0.083333333,3.005376344,0.02154151
Brc1ccc2occ(\C=C\C=C3C(=O)NC(=S)NC3=O)c(=O)c2c1,42.66666667,0.166666667,2.708994709,0.017816357
CCOC(=O)c1ccc(cc1)N1NC(=O)\C(=C\c2ccc(C=O)cc2)C1=O,41.75,7.083333333,2.650793651,0.449954093
O=C1NC(=S)NC(=O)C1=C\C=C\c1coc2ccccc2c1=O,40.16666667,0.5,2.55026455,0.034494696
COC(Nc1ccc(c2[nH]c3c(C(C(O)=O)NCC3)n2)cc1)=O,31.72222222,0.65499034,2.403198653,0.052680527
CCCOc1ccccc1\C=C1\C(=O)NN(C1=O)c1ccc(I)cc1,37.16666667,0.666666667,2.35978836,0.044131108
Cc1ccc(-c2nc3C(NCCc3[nH]2)C(O)=O)c2cccnc12,46.08333333,0.583333333,2.343220339,0.049569191
Cl.Cl.COc1ccc(Cl)cc1-c1nc2C(NCCc2[nH]1)C(O)=O,43.66666667,1,2.220338983,0.063258963
OC(C1NCCc2c1nc(c3cc(F)cc(F)c3)[nH]2)=O,28.16666667,0.5,2.133838384,0.041007392
CCc1ccc(cc1)N1NC(=O)\C(=C/c2ccc(O)cc2)C1=O,32.08333333,7.583333333,2.005208333,0.473958333
COc1ccc(c2[nH]c3c(C(C(O)=O)NCC3)n2)cc1,26.27777778,0.529966223,1.990740741,0.042740501
COc1ccc2c3ccc(OCc4nnn[nH]4)cc3oc(=O)c2c1,38.75,0.416666667,1.970338983,0.03954908
Fc1ccc2occ(\C=C\C=C3C(=O)NC(=S)NC3=O)c(=O)c2c1,30,0.333333333,1.904761905,0.023441075
Cl.Cl.COC(=O)Nc1ccc(cc1)-c1nc2C(NCCc2[nH]1)C(O)=O,37.41666667,0.083333333,1.902542373,0.032523686
Cc(c(OCc1n[nH]nn1)cc2)c3c2c(cccc4)c4c(=O)o3,33.3335,0.1665,1.764704325,0.03737656
COc1ccc(\C=C2/C(=O)NN(C2=O)c2ccc(C)cc2)cc1,27.5,0,1.746031746,0.009238263
COc1ccc2c3ccc(OCC(O)=O)c(C)c3oc(=O)c2c1,33.75,0.583333333,1.716101695,0.041542733
OC(C1NCCc2c1nc(c3c(F)cccc3)[nH]2)=O,21.44444,0.30932,1.624579,0.026309
CCc1ccc(\C=C2/C(=O)NN(C2=O)c2ccc(I)cc2)cc1,25.08333333,0.583333333,1.592592593,0.037983504
NC(=O)c1ccc2nc(CN3CCCCCCC3)cc(O)c2c1,24.58333333,0.25,1.586021505,0.019527634
OC1=NN(C(=O)\C1=C/c1ccco1)c1ccccc1,31.16666667,0.166666667,1.584745763,0.028165285
[O-][N+](=O)c1ccc(\C=C\C=C2/C(=O)NN(C2=O)c2ccccc2)o1,25.25,0.083333333,1.578125,0.005208333
Cc1nc(O)c(Cl)c(n1)-c1c[nH]c2c(C)cccc12,30.66666667,0.666666667,1.559322034,0.042983683
[O-][N+](=O)c1ccc(\C=C2/C(=O)NN(C2=O)c2ccccc2)cc1,24.25,0.416666667,1.53968254,0.027680921
OC(=O)c1ccc(cc1)N1C(=O)C\C(=C\c2coc3ccccc3c2=O)C1=O,24.25,0.416666667,1.53968254,0.027680921
Cl.Cl.COc1ccc(-c2nc3C(NCCc3[nH]2)C(O)=O)c(OC)c1,30,0.333333333,1.525423729,0.030914983
Oc1cccc(NC(=O)C(=O)C2C(=O)Nc3ccccc3S2=O)c1,23.41666667,0.25,1.510752688,0.019237966
OC1=NN(C(=O)\C1=C/c1ccc(o1)[N+]([O-])=O)c1ccc(Br)cc1,,,1.5,
OC1=NN(C(=O)\C1=C/c1ccco1)c1ccccc1,23.91666667,0.25,1.494791667,0.015625
[O-]C(=O)C1[NH2+]CCc2c1[nH]c1ccccc21,29.25,0.083333333,1.487288136,0.025561918
[O-][N+](=O)c1ccc(Cn2cc(\C=C3/C(=O)NN(C3=O)c3ccccc3)c3ccccc23)cc1,23.16666667,0,1.470899471,0.007782537
Cc1cccc2c(c[nH]c12)-c1ccc(CC(O)=O)cn1,28.83333333,0,1.466101695,0.024849181
Cc1ccc(\C=C2\C(=O)NN(C2=O)c2ccc(F)cc2)o1,23.08333333,0.416666667,1.442708333,0.026041667
Cc1cccc2c(c[nH]c12)-c1cncc(n1)C(=O)N1CCOCC1,28.08333333,0.916666667,1.427966102,0.052519369
COc1ccc(\C=C2/C(=O)NN(C2=O)c2ccc(Br)cc2)cc1,22.66666667,0.166666667,1.416666667,0.010416667
COc1ccc(\C=C2\C(O)=NN(C2=O)c2ccccc2)cc1,22.66666667,0.333333333,1.416666667,0.020833333
