SMILES,VINA,CNSMPO
CC(C)CC(=O)C(=O)O,-4.1,5.833333333333332
C1=CC(=C(C=C1C(=O)O)O)O,-4.7,5.166666666666667
C1=CC(=C(C(=C1)O)N)C(=O)O,-5.1,5.166666666666667
C(CC(=O)O)C(=O)CN,-3.9,5.5
C1=NC2=NC=NC(=C2N1)N,-4.5,5.5
CC(=O)CN,-2.9,5.833333333333332
C1=CC=C(C(=C1)C(=O)O)N,-4.7,5.5
C[N+](C)(C)CC=O,-2.9,5.0
CCCC(=O)O,-3.2,4.833333333333333
C1=C(C=C(C(=C1O)O)O)C(=O)OC2=CC(=CC(=C2O)O)C(=O)O,-7.2,4.0
C1=C(C=C(C(=C1O)O)O)C(=O)O,-5.0,4.639333333333333
C[N+]1=CC=CC(=C1)C(=O)N,-4.4,5.833333333333332
COC1=CC=CC=C1O,-4.1,5.306333333333333
CC(C(=O)O)C(=O)O,-3.9,4.5
CC(=O)NCCCNCCCCN,-4.3,4.166666666666667
C1CC1(C(=O)O)N,-3.9,4.8231816995
C(CN(C=O)O)CP(=O)(O)O,-4.3,4.803333333333334
CN(CC(=O)O)C(=NP(=O)(O)O)N,-4.8,3.0
C(CS(=O)(=O)O)S,-3.1,4.5
CC(=CCOP(=O)(O)OP(=O)(O)O)C,-4.6,3.1666666666666665
C1=CC(=C(C=C1O)CC(=O)O)O,-5.2,5.166666666666667
C1=CC=C2C(=C1)C(=CN2)CC(=O)O,-5.6,4.5
CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC,-5.9,5.5
CC(=O)NCCC1=CNC2=C1C=C(C=C2)O,-6.2,5.166666666666667
CC(=O)NCCCNCCCCNCCCN,-4.5,4.0
C1=CC(=CN=C1)C(=O)N,-4.2,5.833333333333332
C(C(=O)C(=O)O)O,-3.6,5.5
C(=O)(C(=O)O)N,-3.5,5.5
C1=CC(=CC=C1C(=O)O)N,-4.4,5.5
CCCCCCCCCCCCCCCC=O,-4.7,3.0
CCCCCCCCCCCCCCCC(=O)O,-4.9,2.912512221833333
C1=CC=C(C=C1)CC(=O)O,-4.9,4.833333333333333
C1=CC=C(C=C1)CCN,-4.3,4.319462011833334
C=C(C(=O)O)OP(=O)(O)O,-4.1,3.415
CC1=NC=C(C(=C1O)C=O)COP(=O)(O)O,-5.2,4.166666666666667
CC1=NC=C(C(=C1O)CO)CO,-4.6,5.166666666666667
C1=CC(=C(C(=C1)O)O)O,-4.5,5.166666666666667
C1=CC(=C(N=C1)C(=O)O)C(=O)O,-4.9,5.395
C(CCNCCCN)CN,-3.9,4.166666666666667
C(CCNCCCN)CNCCCN,-4.2,4.0
C[N+](C)(C)[O-],-2.5,5.153
C12=C(NC(=O)N1)NC(=O)NC2=O,-5.5,4.782333333333334
C1=CC(=CC(=C1)CCSC(=N)N)CCSC(=N)N,-5.7,3.559333333333333
C1=CC(=CC=C1CCSC(=N)N)CCSC(=N)N,-5.8,3.559333333333333
C1=CC2=C(C=CNC2=O)C(=C1)O,-5.7,5.5
C1CN(CCN1)C2=CC=CC3=CC=CC=C32,-6.7,4.400712476333333
C1=CC=C(C=C1)C2=NN=C(C3=CC=CC=C32)NC4=CC(=CC=C4)Cl,-8.5,3.723833333333333
C1CN(CCN1)C2=CC(=CC=C2)Cl,-5.6,4.398278957833333
C1=CC=C(C(=C1)C(F)(F)F)N2C=CN=C2,-6.0,4.699573933
C1=CC=C2C(=C1)N=NN2N,-4.8,5.833333333333332
C1=CC=C(C=C1)NC2=CC=CC3=C2C(=CC=C3)S(=O)(=O)O,-7.4,5.5
CN1CCC(=CC1)C2=CC=CC=C2,-5.7,4.731884701499999
CC1=CC=C(C=C1)C2=NN(C3=NC=NC(=C23)N)C(C)(C)C,-7.5,5.103453325833333
CCN(CC)CCCCNC1=NC2=NC(=C(C=C2C=N1)C3=CC(=CC(=C3)OC)OC)NC(=O)NC(C)(C)C,-6.5,1.8873910838333332
CC(=NCC1=CC=CC(=C1)CN)N,-5.3,4.5
C#CCCCCCCCCCCCCCCCC(=O)O,-4.7,2.871520938833333
C1=CC=C2C(=C1)N=CC3=NOC(=O)N23,-5.9,6.0
C1=CC(=C(C=C1Cl)Cl)OCC(=O)O,-5.1,5.833333333333332
CCCCCCCC1=CC(=O)C2=CC=CC=C2N1O,-6.5,4.080111839833333
C1=CC=C2C(=C1)C(=C(OC2=O)Cl)Cl,-5.8,4.876617678500001
C1=CC(=CC(=C1)N)C(=O)N,-4.7,5.5
C(CN)CS(=O)(=O)O,-3.6,4.5
