SMILES,norm_t_half
Cc(ccc1c2[nH]c3c(C(C(O)=O)NCC3)n2)c4c1cccn4,4.3
Clc(cc1)cc2c1occ(/C=C3C(NN(c4ccccc4)C/3=O)=O)c2=O,4.3
COc(cc1)cc2c1c(ccc(OCc3[nH]nnn3)c4C)c4oc2=O,4.3
Oc1c(\C=C2/C(=O)NN(C2=O)c2ccc(Cl)cc2)cc(Br)cc1[N+]([O-])=O,4.3
OC(=O)c1ccc(cc1)N1NC(=O)\C(=C/c2ccc(o2)[N+]([O-])=O)C1=O,4.3
CCOC(=O)c1ccc(cc1)N1N=C(O)\C(=C/c2ccc(o2)[N+]([O-])=O)C1=O,3.5625
Cc1c(OCc2nnn[nH]2)ccc2c3ccccc3c(=O)oc12,3.516129032
Brc1ccc(\C=C2/C(=O)NN(C2=O)c2ccccc2)o1,3.097457627
Cc1cccc2c(c[nH]c12)-c1nc2C(NCCc2[nH]1)C(O)=O,3.005376344
Brc1ccc2occ(\C=C\C=C3C(=O)NC(=S)NC3=O)c(=O)c2c1,2.708994709
CCOC(=O)c1ccc(cc1)N1NC(=O)\C(=C\c2ccc(C=O)cc2)C1=O,2.650793651
O=C1NC(=S)NC(=O)C1=C\C=C\c1coc2ccccc2c1=O,2.55026455
COC(Nc1ccc(c2[nH]c3c(C(C(O)=O)NCC3)n2)cc1)=O,2.403198653
CCCOc1ccccc1\C=C1\C(=O)NN(C1=O)c1ccc(I)cc1,2.35978836
Cc1ccc(-c2nc3C(NCCc3[nH]2)C(O)=O)c2cccnc12,2.343220339
Cl.Cl.COc1ccc(Cl)cc1-c1nc2C(NCCc2[nH]1)C(O)=O,2.220338983
OC(C1NCCc2c1nc(c3cc(F)cc(F)c3)[nH]2)=O,2.133838384
CCc1ccc(cc1)N1NC(=O)\C(=C/c2ccc(O)cc2)C1=O,2.005208333
COc1ccc(c2[nH]c3c(C(C(O)=O)NCC3)n2)cc1,1.990740741
COc1ccc2c3ccc(OCc4nnn[nH]4)cc3oc(=O)c2c1,1.970338983
Fc1ccc2occ(\C=C\C=C3C(=O)NC(=S)NC3=O)c(=O)c2c1,1.904761905
Cl.Cl.COC(=O)Nc1ccc(cc1)-c1nc2C(NCCc2[nH]1)C(O)=O,1.902542373
Cc(c(OCc1n[nH]nn1)cc2)c3c2c(cccc4)c4c(=O)o3,1.764704325
COc1ccc(\C=C2/C(=O)NN(C2=O)c2ccc(C)cc2)cc1,1.746031746
COc1ccc2c3ccc(OCC(O)=O)c(C)c3oc(=O)c2c1,1.716101695
OC(C1NCCc2c1nc(c3c(F)cccc3)[nH]2)=O,1.624579
CCc1ccc(\C=C2/C(=O)NN(C2=O)c2ccc(I)cc2)cc1,1.592592593
NC(=O)c1ccc2nc(CN3CCCCCCC3)cc(O)c2c1,1.586021505
OC1=NN(C(=O)\C1=C/c1ccco1)c1ccccc1,1.584745763
[O-][N+](=O)c1ccc(\C=C\C=C2/C(=O)NN(C2=O)c2ccccc2)o1,1.578125
Cc1nc(O)c(Cl)c(n1)-c1c[nH]c2c(C)cccc12,1.559322034
[O-][N+](=O)c1ccc(\C=C2/C(=O)NN(C2=O)c2ccccc2)cc1,1.53968254
OC(=O)c1ccc(cc1)N1C(=O)C\C(=C\c2coc3ccccc3c2=O)C1=O,1.53968254
Cl.Cl.COc1ccc(-c2nc3C(NCCc3[nH]2)C(O)=O)c(OC)c1,1.525423729
Oc1cccc(NC(=O)C(=O)C2C(=O)Nc3ccccc3S2=O)c1,1.510752688
OC1=NN(C(=O)\C1=C/c1ccc(o1)[N+]([O-])=O)c1ccc(Br)cc1,1.5
OC1=NN(C(=O)\C1=C/c1ccco1)c1ccccc1,1.494791667
[O-]C(=O)C1[NH2+]CCc2c1[nH]c1ccccc21,1.487288136
[O-][N+](=O)c1ccc(Cn2cc(\C=C3/C(=O)NN(C3=O)c3ccccc3)c3ccccc23)cc1,1.470899471
Cc1cccc2c(c[nH]c12)-c1ccc(CC(O)=O)cn1,1.466101695
Cc1ccc(\C=C2\C(=O)NN(C2=O)c2ccc(F)cc2)o1,1.442708333
Cc1cccc2c(c[nH]c12)-c1cncc(n1)C(=O)N1CCOCC1,1.427966102
COc1ccc(\C=C2/C(=O)NN(C2=O)c2ccc(Br)cc2)cc1,1.416666667
COc1ccc(\C=C2\C(O)=NN(C2=O)c2ccccc2)cc1,1.416666667
COc1ccc(nc1-c1c[nH]c2c(C)cccc12)C(O)=O,1.415254237
Cl.Cl.NC(=O)c1ccc(cc1)-c1nc2C(NCCc2[nH]1)C(O)=O,1.411016949
Cc1ccc(cc1)N1N=C(O)\C(=C\C=C\c2ccccc2Cl)C1=O,1.407407407
NC(c1ccc(c2[nH]c3c(C(C(O)=O)NCC3)n2)cc1)=O,1.405723906
[O-][N+](=O)c1ccc(OCc2ccc(F)cc2)c(\C=C2/C(=O)NN(C2=O)c2ccccc2)c1,1.396825397
[O-][N+](=O)c1ccc(\C=C2\C(=O)NN(C2=O)c2ccccc2)cc1,1.394067797
Cc1nc2ccccn2c1C(=O)NCc1nccnc1-c1ccco1,1.392473118
Cc1c(OCC(N)=O)ccc2c3CCCc3c(=O)oc12,1.389830508
Clc1ccccc1\C=C\C=C1/C(=O)NN(C1=O)c1ccccc1,1.380952381
Cl.Cl.CC(C)(C)\C=C\c1nc2C(NCCc2[nH]1)C(O)=O,1.377118644
CNC(=O)c1ccc(cc1)-c1c[nH]c2c(C)cccc12,1.368644068
CC1CC(C(N)=O)c2ccccc2N1C(=O)Cc1noc2ccccc12,1.360406091
COC(=O)c1ccc(cc1)N1NC(=O)\C(=C/c2ccc(OC)cc2)C1=O,1.349206349
Cl.COc1ccc(cn1)-c1nc2C(NCCc2[nH]1)C(O)=O,1.338983051
